sample	plate	time	infection_status	larvae_only_control	technical_control	name	condition
4672STDY9495721	DN716586V	D1	infected	FALSE	FALSE	24_Inf_1	D1.infected
4672STDY9495722	DN716586V	D1	infected	FALSE	FALSE	24_Inf_2	D1.infected
4672STDY9495723	DN716586V	D1	infected	FALSE	FALSE	24_Inf_3	D1.infected
4672STDY9495724	DN716586V	D1	infected	FALSE	FALSE	24_Inf_4	D1.infected
4672STDY9495725	DN716586V	D1	infected	FALSE	FALSE	24_Inf_5	D1.infected
4672STDY9495726	DN716586V	D1	infected	FALSE	FALSE	24_Inf_6	D1.infected
4672STDY9495727	DN716586V	D1	infected	FALSE	FALSE	24_Inf_7	D1.infected
4672STDY9495728	DN716586V	D1	infected	FALSE	FALSE	24_Inf_8	D1.infected
4672STDY9495729	DN716586V	D1	infected	FALSE	FALSE	24_Inf_9	D1.infected
4672STDY9495730	DN716586V	D1	infected	FALSE	FALSE	24_Inf_10	D1.infected
4672STDY9495731	DN716586V	D1	infected	FALSE	FALSE	24_Inf_11	D1.infected
4672STDY9495732	DN716586V	D1	infected	FALSE	FALSE	24_Inf_12	D1.infected
4672STDY9495733	DN716586V	D1	infected	FALSE	FALSE	24_Inf_13	D1.infected
4672STDY9495734	DN716586V	D1	infected	FALSE	FALSE	24_Inf_14	D1.infected
4672STDY9495735	DN716586V	D1	infected	FALSE	FALSE	24_Inf_15	D1.infected
4672STDY9495736	DN716586V	D1	infected	FALSE	FALSE	24_Inf_16	D1.infected
4672STDY9495737	DN716586V	D1	infected	FALSE	FALSE	24_Inf_17	D1.infected
4672STDY9495738	DN716586V	D1	infected	FALSE	FALSE	24_Inf_18	D1.infected
4672STDY9495739	DN716586V	D1	infected	FALSE	FALSE	24_Inf_19	D1.infected
4672STDY9495740	DN716586V	D1	infected	FALSE	FALSE	24_Inf_20	D1.infected
4672STDY9495741	DN716586V	D1	NA	TRUE	FALSE	Larvae_only_1	Larvae.only
4672STDY9495742	DN716586V	D1	NA	TRUE	FALSE	Larvae_only_2	Larvae.only
4672STDY9495743	DN716586V	D1	NA	TRUE	FALSE	Larvae_only_3	Larvae.only
4672STDY9495744	DN716586V	D1	NA	TRUE	FALSE	Larvae_only_4	Larvae.only
4672STDY9495745	DN716586V	D1	control	FALSE	FALSE	24_Con_1	D1.control
4672STDY9495746	DN716586V	D1	control	FALSE	FALSE	24_Con_2	D1.control
4672STDY9495747	DN716586V	D1	control	FALSE	FALSE	24_Con_3	D1.control
4672STDY9495748	DN716586V	D1	control	FALSE	FALSE	24_Con_4	D1.control
4672STDY9495749	DN716586V	D1	control	FALSE	FALSE	24_Con_5	D1.control
4672STDY9495750	DN716586V	D1	control	FALSE	FALSE	24_Con_6	D1.control
4672STDY9495751	DN716586V	D1	control	FALSE	FALSE	24_Con_7	D1.control
4672STDY9495752	DN716586V	D1	control	FALSE	FALSE	24_Con_8	D1.control
4672STDY9495753	DN716586V	D1	control	FALSE	FALSE	24_Con_9	D1.control
4672STDY9495754	DN716586V	D1	control	FALSE	FALSE	24_Con_10	D1.control
4672STDY9495755	DN716586V	D1	control	FALSE	FALSE	24_Con_11	D1.control
4672STDY9495756	DN716586V	D1	control	FALSE	FALSE	24_Con_12	D1.control
4672STDY9495757	DN716586V	D1	control	FALSE	FALSE	24_Con_13	D1.control
4672STDY9495758	DN716586V	D1	control	FALSE	FALSE	24_Con_14	D1.control
4672STDY9495759	DN716586V	D1	control	FALSE	FALSE	24_Con_15	D1.control
4672STDY9495760	DN716586V	D1	control	FALSE	FALSE	24_Con_16	D1.control
4672STDY9495761	DN716586V	D1	control	FALSE	FALSE	24_Con_17	D1.control
4672STDY9495762	DN716586V	D1	control	FALSE	FALSE	24_Con_18	D1.control
4672STDY9495763	DN716586V	D1	control	FALSE	FALSE	24_Con_19	D1.control
4672STDY9495764	DN716586V	D1	control	FALSE	FALSE	24_Con_20	D1.control
4672STDY9495765	DN716586V	D1	NA	TRUE	FALSE	Larvae_only_5	Larvae.only
4672STDY9495766	DN716586V	D1	NA	TRUE	FALSE	Larvae_only_6	Larvae.only
4672STDY9495767	DN716586V	D1	NA	FALSE	TRUE	Negative_1	Negative.control
4672STDY9495768	DN716586V	D1	NA	FALSE	TRUE	Negative_2	Negative.control
4672STDY9495769	DN716586V	D3	infected	FALSE	FALSE	72_Inf_1	D3.infected
4672STDY9495770	DN716586V	D3	infected	FALSE	FALSE	72_Inf_2	D3.infected
4672STDY9495771	DN716586V	D3	infected	FALSE	FALSE	72_Inf_3	D3.infected
4672STDY9495772	DN716586V	D3	infected	FALSE	FALSE	72_Inf_4	D3.infected
4672STDY9495773	DN716586V	D3	infected	FALSE	FALSE	72_Inf_5	D3.infected
4672STDY9495774	DN716586V	D3	infected	FALSE	FALSE	72_Inf_6	D3.infected
4672STDY9495775	DN716586V	D3	infected	FALSE	FALSE	72_Inf_7	D3.infected
4672STDY9495776	DN716586V	D3	infected	FALSE	FALSE	72_Inf_8	D3.infected
4672STDY9495777	DN716586V	D3	infected	FALSE	FALSE	72_Inf_9	D3.infected
4672STDY9495778	DN716586V	D3	infected	FALSE	FALSE	72_Inf_10	D3.infected
4672STDY9495779	DN716586V	D3	infected	FALSE	FALSE	72_Inf_11	D3.infected
4672STDY9495780	DN716586V	D3	infected	FALSE	FALSE	72_Inf_12	D3.infected
4672STDY9495781	DN716586V	D3	infected	FALSE	FALSE	72_Inf_13	D3.infected
4672STDY9495782	DN716586V	D3	infected	FALSE	FALSE	72_Inf_14	D3.infected
4672STDY9495783	DN716586V	D3	infected	FALSE	FALSE	72_Inf_15	D3.infected
4672STDY9495784	DN716586V	D3	infected	FALSE	FALSE	72_Inf_16	D3.infected
4672STDY9495785	DN716586V	D3	infected	FALSE	FALSE	72_Inf_17	D3.infected
4672STDY9495786	DN716586V	D3	infected	FALSE	FALSE	72_Inf_18	D3.infected
4672STDY9495787	DN716586V	D3	infected	FALSE	FALSE	72_Inf_19	D3.infected
4672STDY9495788	DN716586V	D3	infected	FALSE	FALSE	72_Inf_20	D3.infected
4672STDY9495789	DN716586V	D3	infected	FALSE	FALSE	72_Inf_21	D3.infected
4672STDY9495790	DN716586V	D3	infected	FALSE	FALSE	72_Inf_22	D3.infected
4672STDY9495791	DN716586V	D3	infected	FALSE	FALSE	72_Inf_23	D3.infected
4672STDY9495792	DN716586V	D3	infected	FALSE	FALSE	72_Inf_24	D3.infected
4672STDY9495793	DN716586V	D3	control	FALSE	FALSE	72_Con_1	D3.control
4672STDY9495794	DN716586V	D3	control	FALSE	FALSE	72_Con_2	D3.control
4672STDY9495795	DN716586V	D3	control	FALSE	FALSE	72_Con_3	D3.control
4672STDY9495796	DN716586V	D3	control	FALSE	FALSE	72_Con_4	D3.control
4672STDY9495797	DN716586V	D3	control	FALSE	FALSE	72_Con_5	D3.control
4672STDY9495798	DN716586V	D3	control	FALSE	FALSE	72_Con_6	D3.control
4672STDY9495799	DN716586V	D3	control	FALSE	FALSE	72_Con_7	D3.control
4672STDY9495800	DN716586V	D3	control	FALSE	FALSE	72_Con_8	D3.control
4672STDY9495801	DN716586V	D3	control	FALSE	FALSE	72_Con_9	D3.control
4672STDY9495802	DN716586V	D3	control	FALSE	FALSE	72_Con_10	D3.control
4672STDY9495803	DN716586V	D3	control	FALSE	FALSE	72_Con_11	D3.control
4672STDY9495804	DN716586V	D3	control	FALSE	FALSE	72_Con_12	D3.control
4672STDY9495805	DN716586V	D3	control	FALSE	FALSE	72_Con_13	D3.control
