sample	total	unique	multi
4672STDY8103078	10865826	10942	12642
4672STDY8103079	10818373	4775	7735
4672STDY8103080	9701961	4657	7905
4672STDY8103081	11816943	13462	10744
4672STDY8103082	10453792	5736	5397
4672STDY8103083	9791149	6924	6136
4672STDY8103084	11416747	10247	10442
4672STDY8103085	11484719	10361	10583
4672STDY8103086	8534241	4169	8171
4672STDY8103087	11136634	11759	9854
4672STDY8103088	10643078	11234	12348
4672STDY8103089	11473977	16953	14015
4672STDY8103090	10740755	4386	7968
4672STDY8103091	10892888	4091	6958
4672STDY8103092	11671274	6724	11311
4672STDY8103093	9594159	51693	117592
4672STDY8103094	11060828	13071	12087
4672STDY8103095	11448919	9194	7222
4672STDY8103096	11313563	9727	9376
4672STDY8103097	12083118	8056	7605
4672STDY8103098	11673414	6861	6538
4672STDY8103099	12416623	11570	10169
4672STDY8103100	13255170	4143	4795
4672STDY8103101	11542375	10030	8779
4672STDY8103102	10955476	7558	8856
4672STDY8103103	11424087	5619	7912
4672STDY8103104	12973948	4857	7043
4672STDY8103105	12174152	9527	7358
4672STDY8103106	12437133	11511	8501
4672STDY8103107	12610462	12039	10768
4672STDY8103108	12673733	11874	11384
4672STDY8103109	12081822	11997	10939
4672STDY8103110	13202704	19893	13846
4672STDY8103111	12057386	14875	10436
4672STDY8103112	10531870	11904	8944
4672STDY8103113	11553834	9240	9372
4672STDY8103114	11820811	7465	8423
4672STDY8103115	14428568	9721	8162
4672STDY8103116	12692436	12424	9790
4672STDY8103117	12989166	10496	10519
4672STDY8103118	11677081	6637	8782
4672STDY8103119	11230882	10258	8745
4672STDY8103120	10114571	9973	7742
4672STDY8103121	11641809	5666	9973
4672STDY8103122	12256900	5166	8840
4672STDY8103123	11805479	5935	8809
4672STDY8103124	12874810	20604	14372
4672STDY8103125	12906564	16094	12743
4672STDY8103126	12323683	15189	11341
4672STDY8103127	11369449	7440	6525
4672STDY8103128	11352716	6492	6012
4672STDY8103129	11822680	13249	10092
4672STDY8103130	12683248	13530	9649
4672STDY8103131	12102286	13433	9890
4672STDY8103140	13311774	10273	9414
4672STDY8103141	11981454	10557	9443
4672STDY8103142	13020929	15601	11510
4672STDY8103143	11891473	6117	5078
4672STDY8103144	11557847	5461	6092
4672STDY8103145	12097827	9028	7554
4672STDY8103146	11955569	7832	8695
4672STDY8103147	12899716	9298	10243
4672STDY8103148	12736509	4479	5915
4672STDY8103149	13272869	11437	12509
4672STDY8103150	13304680	12921	11862
4672STDY8103151	11391349	4740	6313
4672STDY8103152	10383513	19920	12818
4672STDY8103153	12402911	18600	12459
4672STDY8103162	11795876	10637	10344
4672STDY8103163	11166701	8245	8086
4672STDY8103164	8901579	4781	9639
4672STDY8103165	14155937	17945	14032
4672STDY8103166	11815271	13624	11524
4672STDY8103167	11817809	12964	11775
4672STDY8103168	12482001	8352	9070
4672STDY8103169	11628429	8410	8738
4672STDY8103170	11017885	7827	7541
4672STDY8103171	11030654	3398	3650
4672STDY8103172	11326299	9849	8676
4672STDY8103173	12382040	4381	5016
4672STDY8103174	11146502	7742043	1656942
4672STDY8103175	9365505	6467803	1387198
4672STDY8103176	9232688	6314760	1360800
4672STDY8103177	8341891	5739277	1232532
4672STDY8103178	11320563	7830396	1672221
4672STDY8103179	11582149	8034257	1726021
4672STDY8103180	9031494	6215539	1217744
4672STDY8103181	6865108	4034541	794258
4672STDY8103182	10072998	7095853	1384576
4672STDY8103183	11482513	7993033	1565962
4672STDY8103184	9199101	6387049	1246818
4672STDY8103185	10382153	7220142	1409587
4672STDY8103186	11176967	7815120	1534235
4672STDY8103187	11473505	8210414	1590302
4672STDY8103188	8507376	5947092	1156483
4672STDY8103189	11132209	7743241	1518954
4672STDY8103190	11529078	8027868	1578919
4672STDY8103191	11787621	8207496	1616163
4672STDY8103192	11547021	8071611	1576409
4672STDY8103193	8429738	5917255	1147099
4672STDY8103194	10215623	7169824	1402082
4672STDY8103195	12042094	8420216	1636845
4672STDY8103196	10388689	7227733	1408306
4672STDY8103197	9967000	7095267	1383587
