sample	experiment	condition	organoid_line	meta
4672STDY8103078	4	cells_naive	WT1	NA
4672STDY8103079	4	cells_naive	WT1	NA
4672STDY8103080	4	cells_naive	WT1	NA
4672STDY8103081	4	coculture	WT1	NA
4672STDY8103082	4	coculture	WT1	NA
4672STDY8103083	4	coculture	WT1	NA
4672STDY8103084	4	cells_naive	WT3	NA
4672STDY8103085	4	cells_naive	WT3	NA
4672STDY8103086	4	cells_naive	WT3	NA
4672STDY8103087	4	coculture	WT3	NA
4672STDY8103088	4	coculture	WT3	NA
4672STDY8103089	4	coculture	WT3	NA
4672STDY8103090	4	cells_naive	WT4	NA
4672STDY8103091	4	cells_naive	WT4	NA
4672STDY8103092	4	cells_naive	WT4	NA
4672STDY8103093	4	coculture	WT4	NA
4672STDY8103094	4	coculture	WT4	NA
4672STDY8103095	4	coculture	WT4	NA
4672STDY8103096	5	cells_naive	WT1	NA
4672STDY8103097	5	cells_naive	WT1	NA
4672STDY8103098	5	cells_naive	WT1	NA
4672STDY8103099	5	coculture	WT1	NA
4672STDY8103100	5	coculture	WT1	NA
4672STDY8103101	5	coculture	WT1	NA
4672STDY8103102	5	cells_naive	WT4	NA
4672STDY8103103	5	cells_naive	WT4	NA
4672STDY8103104	5	cells_naive	WT4	NA
4672STDY8103105	5	coculture	WT4	NA
4672STDY8103106	5	coculture	WT4	NA
4672STDY8103107	5	coculture	WT4	NA
4672STDY8103108	6	cells_naive	WT1	NA
4672STDY8103109	6	cells_naive	WT1	NA
4672STDY8103110	6	coculture	WT1	NA
4672STDY8103111	6	coculture	WT1	NA
4672STDY8103112	6	coculture	WT1	NA
4672STDY8103113	7	cells_naive	WT1	NA
4672STDY8103114	7	cells_naive	WT1	NA
4672STDY8103115	7	coculture	WT1	NA
4672STDY8103116	7	coculture	WT1	NA
4672STDY8103117	7	cells_naive	WT1	NA
4672STDY8103118	7	cells_naive	WT1	NA
4672STDY8103119	7	coculture	WT1	NA
4672STDY8103120	7	coculture	WT1	NA
4672STDY8103121	8	cells_naive	WT1	NA
4672STDY8103122	8	cells_naive	WT1	NA
4672STDY8103123	8	cells_naive	WT1	NA
4672STDY8103124	8	coculture	WT1	NA
4672STDY8103125	8	coculture	WT1	NA
4672STDY8103126	8	coculture	WT1	NA
4672STDY8103127	8	cells_naive	WT1	NA
4672STDY8103128	8	cells_naive	WT1	NA
4672STDY8103129	8	coculture	WT1	NA
4672STDY8103130	8	coculture	WT1	NA
4672STDY8103131	8	coculture	WT1	NA
4672STDY8103140	9	cells_naive	WT3	NA
4672STDY8103141	9	cells_naive	WT3	NA
4672STDY8103142	9	coculture	WT3	NA
4672STDY8103143	9	coculture	WT3	NA
4672STDY8103144	9	cells_naive	WT3	NA
4672STDY8103145	9	coculture	WT3	NA
4672STDY8103146	9	cells_naive	WT4	NA
4672STDY8103147	9	cells_naive	WT4	NA
4672STDY8103148	9	cells_naive	WT4	NA
4672STDY8103149	9	cells_naive	WT4	NA
4672STDY8103150	9	coculture	WT4	NA
4672STDY8103151	9	coculture	WT4	NA
4672STDY8103152	9	coculture	WT4	NA
4672STDY8103153	9	coculture	WT4	NA
4672STDY8103162	10	cells_naive	WT4	NA
4672STDY8103163	10	cells_naive	WT4	NA
4672STDY8103164	10	cells_naive	WT4	NA
4672STDY8103165	10	coculture	WT4	NA
4672STDY8103166	10	coculture	WT4	NA
4672STDY8103167	10	coculture	WT4	NA
4672STDY8103168	11	cells_naive	WT3	NA
4672STDY8103169	11	cells_naive	WT3	NA
4672STDY8103170	11	cells_naive	WT3	NA
4672STDY8103171	11	coculture	WT3	NA
4672STDY8103172	11	coculture	WT3	NA
4672STDY8103173	11	coculture	WT3	NA
4672STDY8103174	4	free_larvae	NA	unactivated
4672STDY8103175	4	free_larvae	NA	unactivated
4672STDY8103176	4	free_larvae	NA	unactivated
4672STDY8103177	4	free_larvae	NA	activated
4672STDY8103178	4	free_larvae	NA	activated
4672STDY8103179	4	free_larvae	NA	activated
4672STDY8103180	5	free_larvae	NA	NA
4672STDY8103181	5	free_larvae	NA	NA
4672STDY8103182	5	free_larvae	NA	NA
4672STDY8103183	7	free_larvae	NA	NA
4672STDY8103184	7	free_larvae	NA	NA
4672STDY8103185	7	free_larvae	NA	NA
4672STDY8103186	8	free_larvae	NA	NA
4672STDY8103187	8	free_larvae	NA	NA
4672STDY8103188	8	free_larvae	NA	NA
4672STDY8103189	9	free_larvae	NA	NA
4672STDY8103190	9	free_larvae	NA	NA
4672STDY8103191	9	free_larvae	NA	NA
4672STDY8103192	10	free_larvae	NA	NA
4672STDY8103193	10	free_larvae	NA	NA
4672STDY8103194	10	free_larvae	NA	NA
4672STDY8103195	11	free_larvae	NA	NA
4672STDY8103196	11	free_larvae	NA	NA
4672STDY8103197	11	free_larvae	NA	NA
